exercise,note,start_s,end_s,dur_s
2,G3,405.064,405.389,0.325
2,D#3,405.435,405.9,0.464
2,E3,406.712,407.897,1.184
2,E3,408.106,409.197,1.091
2,E3,409.406,409.522,0.116
2,E4,409.522,409.94,0.418
2,E4,410.776,411.124,0.348
2,D#4,411.124,411.449,0.325
2,C#4,411.496,411.774,0.279
2,B3,411.821,412.099,0.279
2,A3,412.169,412.355,0.186
2,G#3,412.448,412.796,0.348
2,F#3,412.842,413.075,0.232
2,G#3,413.121,413.446,0.325
2,E3,413.446,414.421,0.975
2,F3,414.723,415.954,1.231
2,F3,416.07,417.603,1.533
2,F4,417.603,417.904,0.302
2,F4,418.764,419.205,0.441
2,E4,419.205,419.437,0.232
2,C4,419.762,420.064,0.302
2,A#3,420.11,420.528,0.418
2,A3,420.528,420.807,0.279
2,G3,420.807,421.132,0.325
2,A3,421.132,421.248,0.116
2,F2,421.411,421.504,0.093
2,F3,421.504,422.734,1.231
2,F#3,422.734,423.895,1.161
2,F#3,424.058,425.497,1.44
2,F#4,425.497,426.333,0.836
2,F#4,426.705,427.146,0.441
2,F4,427.146,427.448,0.302
2,D#4,427.471,427.773,0.302
2,C#4,427.819,428.098,0.279
2,B3,428.144,428.423,0.279
2,A#3,428.423,428.864,0.441
2,G#3,428.911,429.096,0.186
2,A#3,429.12,429.422,0.302
2,F#2,429.422,429.584,0.163
2,F#3,429.584,430.606,1.022
2,G3,430.745,431.883,1.138
2,G3,432.045,433.322,1.277
2,G4,433.415,434.251,0.836
2,G4,434.716,435.203,0.488
2,F#4,435.203,435.482,0.279
2,D4,435.853,436.086,0.232
2,C4,436.109,436.434,0.325
2,B3,436.434,436.852,0.418
2,B3,437.014,437.432,0.418
2,G2,437.432,437.549,0.116
2,G3,437.549,438.431,0.882
2,G#3,438.733,439.429,0.697
2,G#3,440.056,440.869,0.813
2,G#4,441.403,441.867,0.464
2,G#4,442.796,442.982,0.186
2,G4,443.075,443.446,0.372
2,F4,443.493,443.771,0.279
2,D#4,443.818,444.073,0.255
2,C#4,444.143,444.422,0.279
2,C4,444.422,444.793,0.372
2,A#3,444.863,445.025,0.163
2,C4,445.095,445.397,0.302
2,G#3,445.467,446.093,0.627
2,A3,446.836,447.045,0.209
2,A3,448.137,448.601,0.464
2,A4,449.414,450.18,0.766
2,A4,450.737,451.202,0.464
2,G#4,451.202,451.434,0.232
2,F#4,451.457,451.829,0.372
2,E4,451.875,452.084,0.209
2,D4,452.107,452.386,0.279
2,C#4,452.386,452.804,0.418
2,B3,452.874,453.036,0.163
2,C#4,453.083,453.431,0.348
2,C#3,453.431,453.547,0.116
2,A3,453.547,453.965,0.418
2,A#3,454.731,455.985,1.254
2,A#3,456.055,457.448,1.393
2,A#4,457.448,458.354,0.906
2,A#4,458.725,459.143,0.418
2,A4,459.143,459.422,0.279
2,G4,459.445,459.747,0.302
2,F4,459.793,460.095,0.302
2,D#4,460.118,460.49,0.372
2,D4,460.49,460.815,0.325
2,C4,460.861,461.07,0.209
2,D4,461.094,461.372,0.279
2,A#3,461.419,462.626,1.207
2,B3,462.696,463.95,1.254
2,B3,464.042,465.575,1.533
2,B4,466.806,467.015,0.209
2,A#4,467.131,467.525,0.395
2,F#4,467.758,468.129,0.372
2,E4,468.152,468.385,0.232
2,D#4,468.385,468.779,0.395
2,C#4,468.849,469.058,0.209
2,D#4,469.104,469.383,0.279
2,E2,469.453,469.569,0.116
2,B3,469.569,470.567,0.998
2,C4,470.73,471.821,1.091
2,C4,472.03,473.563,1.533
2,C5,473.563,473.795,0.232
2,C5,474.77,475.049,0.279
2,A4,475.513,475.722,0.209
2,G4,475.769,476.094,0.325
2,F4,476.163,476.442,0.279
2,E4,476.442,476.744,0.302
2,E4,477.069,477.348,0.279
2,C2,477.348,477.44,0.093
2,C4,477.44,478.601,1.161
2,C#4,478.717,479.553,0.836
2,C#4,480.041,481.016,0.975
2,C#5,481.504,481.713,0.209
2,C5,483.245,483.338,0.093
2,A#4,483.454,483.803,0.348
2,G#4,483.849,484.058,0.209
2,F#4,484.105,484.43,0.325
2,F4,484.43,484.778,0.348
2,D#4,484.824,485.057,0.232
2,F4,485.103,485.358,0.255
2,C#3,485.405,485.498,0.093
2,C#4,485.498,486.264,0.766
2,D4,486.705,487.262,0.557
2,D4,488.075,488.609,0.534
2,D5,489.422,489.677,0.255
2,D5,490.815,490.908,0.093
2,A4,491.79,492.046,0.255
2,G4,492.069,492.464,0.395
2,F#4,492.464,492.858,0.395
2,E4,492.905,493.021,0.116
2,F#4,493.067,493.369,0.302
2,D2,493.369,493.555,0.186
2,D4,493.555,493.88,0.325
2,C#4,494.716,495.645,0.929
2,C#4,496.063,496.968,0.906
2,C#5,497.502,497.642,0.139
2,A#4,499.453,499.824,0.372
2,G#4,499.871,500.033,0.163
2,F#4,500.126,500.428,0.302
2,F4,500.428,500.8,0.372
2,D#4,500.846,501.055,0.209
2,F4,501.102,501.357,0.255
2,C#3,501.403,501.519,0.116
2,C#4,501.519,502.263,0.743
2,C4,502.704,503.888,1.184
2,C4,504.05,505.583,1.533
2,C5,505.583,505.676,0.093
2,C5,506.79,506.999,0.209
2,A4,507.487,507.719,0.232
2,G4,507.766,508.091,0.325
2,F4,508.16,508.462,0.302
2,E4,508.462,508.764,0.302
2,D4,508.834,509.043,0.209
2,E4,509.066,509.368,0.302
2,C2,509.368,509.484,0.116
2,C4,509.484,510.343,0.859
2,B3,510.738,511.69,0.952
2,B3,512.038,513.269,1.231
2,B3,513.431,513.547,0.116
2,A#4,515.126,515.451,0.325
2,F#4,515.753,516.125,0.372
2,E4,516.171,516.403,0.232
2,D#4,516.403,516.775,0.372
2,C#4,516.845,517.054,0.209
2,D#4,517.077,517.379,0.302
2,E2,517.448,517.564,0.116
2,B3,517.564,518.633,1.068
2,A#3,518.725,519.933,1.207
2,A#3,520.026,521.442,1.416
2,A#4,521.442,522.255,0.813
2,A#4,522.719,523.16,0.441
2,A4,523.16,523.416,0.255
2,G4,523.439,523.764,0.325
2,F4,523.834,524.112,0.279
2,D#4,524.136,524.507,0.372
2,D4,524.507,524.716,0.209
2,C4,524.832,525.065,0.232
2,D4,525.111,525.343,0.232
2,A#3,525.413,526.295,0.882
2,A3,526.76,527.038,0.279
2,A3,528.153,528.408,0.255
2,A4,529.407,530.08,0.673
2,A4,530.73,531.171,0.441
2,G#4,531.171,531.334,0.163
2,F#4,531.45,531.798,0.348
2,E4,531.845,532.03,0.186
2,D4,532.077,532.402,0.325
2,C#4,532.402,532.774,0.372
2,B3,532.843,533.052,0.209
2,C#4,533.099,533.424,0.325
2,C#3,533.424,533.517,0.093
2,A3,533.54,533.679,0.139
2,G#3,534.724,535.328,0.604
2,G#3,536.048,536.883,0.836
2,G#4,537.487,537.743,0.255
2,G#4,538.718,539.113,0.395
2,G4,539.113,539.461,0.348
2,F4,539.507,539.786,0.279
2,D#4,539.832,540.111,0.279
2,C#4,540.181,540.436,0.255
2,C4,540.436,540.808,0.372
2,A#3,540.854,541.04,0.186
2,C4,541.063,541.388,0.325
2,C2,541.388,541.481,0.093
2,G#3,541.527,541.922,0.395
2,G3,542.712,543.896,1.184
2,G3,544.035,545.057,1.022
2,G4,545.428,546.357,0.929
2,G4,546.682,547.123,0.441
2,F#4,547.123,547.495,0.372
2,D4,547.774,548.052,0.279
2,C4,548.075,548.401,0.325
2,B3,548.401,548.911,0.511
2,B3,549.097,549.399,0.302
2,G2,549.399,549.538,0.139
2,G3,549.538,550.374,0.836
2,F#3,550.723,551.767,1.045
2,F#3,552.046,553.439,1.393
2,F#4,553.439,554.368,0.929
2,F#4,554.716,555.158,0.441
2,F4,555.158,555.413,0.255
2,D#4,555.459,555.761,0.302
2,C#4,555.808,556.086,0.279
2,B3,556.133,556.458,0.325
2,A#3,556.458,556.806,0.348
2,G#3,556.853,557.038,0.186
2,A#3,557.062,557.41,0.348
2,F#2,557.41,557.572,0.163
2,F#3,557.572,558.548,0.975
2,F3,558.687,559.894,1.207
2,F3,560.057,561.311,1.254
2,F3,561.381,561.613,0.232
2,F4,561.613,561.938,0.325
2,F4,562.727,563.192,0.464
2,E4,563.192,563.401,0.209
2,C4,563.749,564.051,0.302
2,A#3,564.12,564.538,0.418
2,G3,564.747,565.119,0.372
2,F3,565.49,566.396,0.906
2,E3,566.721,567.696,0.975
2,E3,568.045,569.09,1.045
2,E3,569.391,569.508,0.116
2,E4,569.508,569.856,0.348
2,E4,570.785,571.11,0.325
2,D#4,571.11,571.435,0.325
2,C#4,571.481,571.76,0.279
2,B3,571.806,572.131,0.325
2,G#3,572.41,572.782,0.372
2,F#3,572.805,573.06,0.255
2,G#3,573.083,573.432,0.348
2,E3,573.432,574.128,0.697
2,D#3,574.709,575.452,0.743
2,D#3,576.056,576.775,0.72
2,D#4,577.402,578.447,1.045
2,D#4,578.703,579.167,0.464
2,D4,579.167,579.376,0.209
2,C4,579.446,579.701,0.255
2,A#3,579.748,580.119,0.372
2,G#3,580.165,580.398,0.232
2,G3,580.398,580.862,0.464
2,F3,580.885,581.025,0.139
2,G3,581.048,581.396,0.348
2,D#3,581.443,582.0,0.557
2,D3,582.743,583.602,0.859
2,D3,584.043,584.833,0.789
2,D4,585.436,585.738,0.302
2,D4,586.713,587.108,0.395
2,C#4,587.108,587.433,0.325
2,B3,587.48,587.805,0.325
2,B2,587.805,587.898,0.093
2,G3,588.06,588.501,0.441
2,F#3,588.501,588.827,0.325
2,E3,588.85,589.059,0.209
2,F#3,589.082,589.361,0.279
2,D3,589.43,590.104,0.673
2,C#3,590.754,591.45,0.697
2,C#3,592.054,592.983,0.929
2,C#4,593.378,594.167,0.789
2,C#4,594.701,595.212,0.511
2,C4,595.212,595.398,0.186
2,A#3,595.421,595.792,0.372
2,G#3,595.816,596.071,0.255
2,F#3,596.118,596.443,0.325
2,F3,596.443,596.791,0.348
2,D#3,596.837,597.07,0.232
2,F3,597.093,597.371,0.279
2,F2,597.371,597.464,0.093
2,C#3,597.464,597.998,0.534
2,C3,598.718,599.601,0.882
2,C3,600.042,600.971,0.929
2,C4,601.435,602.549,1.115
2,C4,602.689,603.13,0.441
2,B3,603.13,603.478,0.348
2,G3,603.71,604.128,0.418
2,F3,604.128,604.407,0.279
2,E3,604.407,604.848,0.441
2,D3,604.871,605.08,0.209
2,E3,605.08,605.406,0.325
2,C3,605.429,606.149,0.72
2,B2,606.683,607.983,1.3
2,B2,608.053,609.446,1.393
2,B3,609.446,610.56,1.115
2,B3,610.7,611.141,0.441
2,A#3,611.141,611.489,0.348
2,G#3,611.536,611.745,0.209
2,F#3,611.768,612.093,0.325
2,E3,612.116,612.418,0.302
2,D#3,612.418,612.813,0.395
2,C#3,612.813,613.045,0.232
2,D#3,613.045,613.393,0.348
2,B2,613.393,614.717,1.324
2,A#2,614.717,617.55,2.833
2,A#3,617.55,618.548,0.998
